Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-27 15:16:26,141,133,137,132,128
2024-02-27 15:16:26,136,142,133,136,131
2024-02-27 15:16:26,159,160,148,159,149
2024-02-27 15:16:26,127,155,157,161,146
2024-02-27 15:16:26,165,127,176,153,142
2024-02-27 15:16:26,127,180,157,148,159
2024-02-27 15:16:26,155,155,150,159,159
2024-02-27 15:16:26,179,131,127,134,175
2024-02-27 15:16:26,164,164,164,162,156
2024-02-27 15:16:26,199,152,135,159,152
2024-02-27 15:16:26,189,163,127,155,163
2024-02-27 15:16:26,151,167,127,163,172
2024-02-27 15:16:26,174,132,199,158,170
2024-02-27 15:16:26,135,204,174,167,150
2024-02-27 15:16:26,121,134,160,192,160
2024-02-27 15:16:26,208,178,208,164,134
2024-02-27 15:16:26,179,119,164,126,162
2024-02-27 15:16:26,150,202,196,207,164
2024-02-27 15:16:26,167,183,132,215,212
2024-02-27 15:16:26,164,187,150,140,146
2024-02-27 15:16:26,146,150,142,185,135
2024-02-27 15:16:26,203,186,122,169,177
2024-02-27 15:16:26,186,127,212,135,213
2024-02-27 15:16:26,181,220,127,203,153
2024-02-27 15:16:26,178,169,135,169,169
2024-02-27 15:16:26,169,124,203,130,173
2024-02-27 15:16:26,125,169,165,135,169
2024-02-27 15:16:26,122,124,169,219,170
2024-02-27 15:16:26,121,167,159,104,153
2024-02-27 15:16:26,135,167,101,184,101
2024-02-27 15:16:26,121,166,112,200,168
2024-02-27 15:16:26,156,146,94,146,203
2024-02-27 15:16:26,156,201,171,208,201
2024-02-27 15:16:26,89,103,177,205,97
2024-02-27 15:16:26,198,119,102,157,141
2024-02-27 15:16:26,157,157,131,139,131
2024-02-27 15:16:26,170,99,190,153,180
2024-02-27 15:16:26,168,93,93,142,185
2024-02-27 15:16:26,167,134,160,154,149
2024-02-27 15:16:26,155,182,162,135,147
2024-02-27 15:16:26,148,96,147,148,127
2024-02-27 15:16:26,144,177,123,120,120
2024-02-27 15:16:26,114,120,116,114,123
2024-02-27 15:16:26,153,151,146,122,151
2024-02-27 15:16:26,98,154,118,125,125
2024-02-27 15:16:26,136,129,138,136,136
2024-02-27 15:16:26,144,146,129,134,118
2024-02-27 15:16:26,140,125,125,137,129
2024-02-27 15:16:26,130,135,130,122,126
2024-02-27 15:16:26,128,128,126,127,126
2024-02-27 15:16:26,124,125,128,127,130
